No,因縁名,因縁種類,因子1,因子2,因子3,効果サイズ,効果元表記,対象ステータス,係数カテゴリ,因縁係数,全体倍率,実効係数_因縁係数x2.24,因縁値式,陣形補正式,最終式
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,大,魅力・四象,水,ステータス,0.0098,2.24,0.021952,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,大,魅力・四象,火,ステータス,0.0098,2.24,0.021952,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
45,洒落者の絆,固有因縁,洒落者,洒落者,洒落者,大,魅力・四象,風,ステータス,0.0098,2.24,0.021952,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
46,鬼の絆,固有因縁,鬼,鬼,鬼,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
46,鬼の絆,固有因縁,鬼,鬼,鬼,大,腕力・耐久,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
46,鬼の絆,固有因縁,鬼,鬼,鬼,大,腕力・耐久,耐久力,ステータス,0.0098,2.24,0.021952,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
47,神仏の徒の絆,固有因縁,神仏の徒,神仏の徒,神仏の徒,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
47,神仏の徒の絆,固有因縁,神仏の徒,神仏の徒,神仏の徒,大,知力・魅力,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
47,神仏の徒の絆,固有因縁,神仏の徒,神仏の徒,神仏の徒,大,知力・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
48,世渡り上手の絆,固有因縁,世渡り上手,世渡り上手,世渡り上手,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
48,世渡り上手の絆,固有因縁,世渡り上手,世渡り上手,世渡り上手,大,気合・魅力,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
48,世渡り上手の絆,固有因縁,世渡り上手,世渡り上手,世渡り上手,大,気合・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
49,飛道具使いの絆,固有因縁,飛道具使い,飛道具使い,飛道具使い,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
49,飛道具使いの絆,固有因縁,飛道具使い,飛道具使い,飛道具使い,大,腕力・器用さ,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
49,飛道具使いの絆,固有因縁,飛道具使い,飛道具使い,飛道具使い,大,腕力・器用さ,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
50,明敏の絆,固有因縁,明敏,明敏,明敏,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
50,明敏の絆,固有因縁,明敏,明敏,明敏,大,気合・知力,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
50,明敏の絆,固有因縁,明敏,明敏,明敏,大,気合・知力,知力,ステータス,0.0098,2.24,0.021952,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
51,宿将の絆,固有因縁,宿将,宿将,宿将,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
51,宿将の絆,固有因縁,宿将,宿将,宿将,大,腕力・魅力,腕力,ステータス,0.0098,2.24,0.021952,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
51,宿将の絆,固有因縁,宿将,宿将,宿将,大,腕力・魅力,魅力,ステータス,0.0098,2.24,0.021952,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,大,耐久・四象,耐久力,ステータス,0.0098,2.24,0.021952,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,大,耐久・四象,土,ステータス,0.0098,2.24,0.021952,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,大,耐久・四象,水,ステータス,0.0098,2.24,0.021952,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,大,耐久・四象,火,ステータス,0.0098,2.24,0.021952,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
52,根性の絆,固有因縁,根性,根性,根性,大,耐久・四象,風,ステータス,0.0098,2.24,0.021952,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,特大,生命力,生命,生命,0.0084,2.24,0.018816,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,大,器用さ・四象,器用さ,ステータス,0.0098,2.24,0.021952,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,大,器用さ・四象,土,ステータス,0.0098,2.24,0.021952,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,大,器用さ・四象,水,ステータス,0.0098,2.24,0.021952,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,大,器用さ・四象,火,ステータス,0.0098,2.24,0.021952,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
53,才腕の絆,固有因縁,才腕,才腕,才腕,大,器用さ・四象,風,ステータス,0.0098,2.24,0.021952,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
54,もののふ,特殊因縁,勇将,猛将,鬼,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
54,もののふ,特殊因縁,勇将,猛将,鬼,大,腕力,腕力,ステータス,0.0082,2.24,0.018368,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
54,もののふ,特殊因縁,勇将,猛将,鬼,小,耐久力・器用さ,耐久力,ステータス,,2.24,,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
54,もののふ,特殊因縁,勇将,猛将,鬼,小,耐久力・器用さ,器用さ,ステータス,,2.24,,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,大,知力,知力,ステータス,0.0082,2.24,0.018368,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,小,魅力・四象,魅力,ステータス,,2.24,,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,小,魅力・四象,土,ステータス,,2.24,,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,小,魅力・四象,水,ステータス,,2.24,,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,小,魅力・四象,火,ステータス,,2.24,,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
55,立役者,特殊因縁,知将,外交官,名臣,小,魅力・四象,風,ステータス,,2.24,,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,大,知力,知力,ステータス,0.0082,2.24,0.018368,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,小,腕力・四象,腕力,ステータス,,2.24,,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,小,腕力・四象,土,ステータス,,2.24,,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,小,腕力・四象,水,ステータス,,2.24,,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,小,腕力・四象,火,ステータス,,2.24,,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
56,謀略家,特殊因縁,知将,野心家,世渡り上手,小,腕力・四象,風,ステータス,,2.24,,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
57,戦場の華,特殊因縁,女傑,猛将,洒落者,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
57,戦場の華,特殊因縁,女傑,猛将,洒落者,大,魅力,魅力,ステータス,0.0082,2.24,0.018368,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
57,戦場の華,特殊因縁,女傑,猛将,洒落者,小,腕力・知力,腕力,ステータス,,2.24,,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
57,戦場の華,特殊因縁,女傑,猛将,洒落者,小,腕力・知力,知力,ステータス,,2.24,,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
58,影の者,特殊因縁,忍び,内助の功,世渡り上手,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
58,影の者,特殊因縁,忍び,内助の功,世渡り上手,大,器用さ,器用さ,ステータス,0.0082,2.24,0.018368,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
58,影の者,特殊因縁,忍び,内助の功,世渡り上手,小,気合・魅力,気合,気合,,2.24,,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
58,影の者,特殊因縁,忍び,内助の功,世渡り上手,小,気合・魅力,魅力,ステータス,,2.24,,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
59,文明開化,特殊因縁,文化人,外交官,洒落者,中,知力・魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
60,豪傑,特殊因縁,女傑,剣豪,鬼,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
60,豪傑,特殊因縁,女傑,剣豪,鬼,大,腕力,腕力,ステータス,0.0082,2.24,0.018368,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
60,豪傑,特殊因縁,女傑,剣豪,鬼,小,気合・器用さ,気合,気合,,2.24,,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
60,豪傑,特殊因縁,女傑,剣豪,鬼,小,気合・器用さ,器用さ,ステータス,,2.24,,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,大,器用さ,器用さ,ステータス,0.0082,2.24,0.018368,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,小,腕力・四象,腕力,ステータス,,2.24,,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,小,腕力・四象,土,ステータス,,2.24,,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,小,腕力・四象,水,ステータス,,2.24,,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,小,腕力・四象,火,ステータス,,2.24,,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
61,奇襲,特殊因縁,飛道具使い,忍び,剣豪,小,腕力・四象,風,ステータス,,2.24,,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
62,健康第一,特殊因縁,長寿,神仏の徒,内助の功,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
62,健康第一,特殊因縁,長寿,神仏の徒,内助の功,中,気合・耐久力・知力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
62,健康第一,特殊因縁,長寿,神仏の徒,内助の功,中,気合・耐久力・知力,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
62,健康第一,特殊因縁,長寿,神仏の徒,内助の功,中,気合・耐久力・知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
63,籠城名手,特殊因縁,名臣,神仏の徒,飛道具使い,特大,生命力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
63,籠城名手,特殊因縁,名臣,神仏の徒,飛道具使い,大,耐久力,耐久力,ステータス,0.0082,2.24,0.018368,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
63,籠城名手,特殊因縁,名臣,神仏の徒,飛道具使い,小,器用さ・知力,器用さ,ステータス,,2.24,,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
63,籠城名手,特殊因縁,名臣,神仏の徒,飛道具使い,小,器用さ・知力,知力,ステータス,,2.24,,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
64,老練闊達,特殊因縁,明敏,野心家,長寿,特大,生命力・気合,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
64,老練闊達,特殊因縁,明敏,野心家,長寿,特大,生命力・気合,気合,気合,0.0135,2.24,0.03024,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
64,老練闊達,特殊因縁,明敏,野心家,長寿,中,腕力・知力,腕力,ステータス,0.0044,2.24,0.009856,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
64,老練闊達,特殊因縁,明敏,野心家,長寿,中,腕力・知力,知力,ステータス,0.0044,2.24,0.009856,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
65,一気呵成,特殊因縁,宿将,鬼,忍び,特大,生命力・腕力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
65,一気呵成,特殊因縁,宿将,鬼,忍び,特大,生命力・腕力,腕力,ステータス,0.0132,2.24,0.029568,腕力=対象ライン3人腕力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
65,一気呵成,特殊因縁,宿将,鬼,忍び,中,器用さ・魅力,器用さ,ステータス,0.0044,2.24,0.009856,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
65,一気呵成,特殊因縁,宿将,鬼,忍び,中,器用さ・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,特大,生命力・耐久力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,特大,生命力・耐久力,耐久力,ステータス,0.0132,2.24,0.029568,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,中,魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,中,魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,中,魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,中,魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
66,泰然自若,特殊因縁,根性,勇将,長寿,中,魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,特大,生命力・器用さ,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,特大,生命力・器用さ,器用さ,ステータス,0.0132,2.24,0.029568,器用さ=対象ライン3人器用さ合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,中,魅力・四象,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,中,魅力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,中,魅力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,中,魅力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
67,技巧伝承,特殊因縁,才腕,文化人,外交官,中,魅力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
68,才気煥発,特殊因縁,明敏,野心家,神仏の徒,特大,生命力・知力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
68,才気煥発,特殊因縁,明敏,野心家,神仏の徒,特大,生命力・知力,知力,ステータス,0.0132,2.24,0.029568,知力=対象ライン3人知力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
68,才気煥発,特殊因縁,明敏,野心家,神仏の徒,中,気合・魅力,気合,気合,0.006,2.24,0.01344,気合=対象ライン3人気合合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
68,才気煥発,特殊因縁,明敏,野心家,神仏の徒,中,気合・魅力,魅力,ステータス,0.0044,2.24,0.009856,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,特大,生命力・魅力,生命,生命,0.007,2.24,0.01568,生命=対象ライン3人生命合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,特大,生命力・魅力,魅力,ステータス,0.0132,2.24,0.029568,魅力=対象ライン3人魅力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,中,耐久力・四象,耐久力,ステータス,0.0044,2.24,0.009856,耐久力=対象ライン3人耐久力合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,中,耐久力・四象,土,ステータス,0.0044,2.24,0.009856,土=対象ライン3人土合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,中,耐久力・四象,水,ステータス,0.0044,2.24,0.009856,水=対象ライン3人水合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,中,耐久力・四象,火,ステータス,0.0044,2.24,0.009856,火=対象ライン3人火合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
69,王佐之才,特殊因縁,宿将,名臣,内助の功,中,耐久力・四象,風,ステータス,0.0044,2.24,0.009856,風=対象ライン3人風合計×因縁係数×2.24,陣形値=因縁値合算×陣形倍率,floor(因縁値合算+陣形値)
