コスト,名前,職業,因子1,因子2,因子3,因子4,生命,気合,腕力,耐久力,器用さ,知力,魅力,土属性,水属性,火属性,風属性,育成技能１,育成技能２,育成技能３,追加・更新,技能,詳細
7,おまつ(奇譚),忍者,忍術,忍び,女傑,内助の功,31526,20930,2285,1627,2422,2878,2889,2323,2161,2803,2585,知力上昇,生命上昇,火属性上昇,,,
7,お江,薬師,医学,世渡り上手,内助の功,,34157,20054,1056,1742,1945,2843,3070,2329,2110,2025,2046,魅力上昇,生命上昇,魅力修練志向,,,
7,ガラシャ(聖),陰陽師,召喚術,女傑,神仏の徒,,34843,22477,1537,2020,1563,2903,3043,2599,2552,2785,2597,知力上昇率向上,魅力上昇率向上,知力上昇,,,
7,ねね(和装),薬師,医学,内助の功,,,29521,16043,827,1477,1104,2483,2871,1412,1133,1147,1106,魅力上昇,,,,,
7,まつ,忍者,忍術,内助の功,,,32314,14950,1670,1239,2028,2729,2870,1467,1400,1642,1668,魅力上昇,生命上昇,,,,
7,もののふ小町,侍,武芸,根性,世渡り上手,,34160,18121,2522,1651,1449,1358,2167,1474,2491,1626,2437,魅力上昇,生命上昇率向上,,,,
7,愛姫(特別),忍者,忍法,,,,25116,15934,2663,1488,2334,1561,2002,1046,1050,1056,1135,火属性上昇,,,,,
7,梓,忍者,忍法,女傑,,忍び,27231,12803,2663,1239,2120,1060,2183,854,858,864,2610,器用修練志向,,,,,
7,遠足娘まり,傾奇者,殺陣,明敏,女傑,,37958,21727,3381,1998,2585,2553,2932,2457,2622,2580,2611,腕力上昇,器用上昇,腕力修練志向,,,
7,加藤清正,鍛冶屋,鎧鍛冶,猛将,鬼,,37930,21171,3034,2445,1886,2036,2366,2053,2130,1879,1996,腕力上昇,耐久上昇,生命上昇,,,
7,帰蝶,忍者,忍術,内助の功,女傑,,31789,20780,2250,1640,2407,2915,2796,2323,3080,2483,2585,知力上昇,水属性上昇,知力修練志向,,,
7,宮本武蔵(涼),侍,軍学,剣豪,鬼,,36858,20635,2857,2196,2507,2004,2311,1593,2224,1538,2274,生命上昇率向上,器用上昇率向上,生命上昇,,,
7,蛍(吸血),鍛冶屋,鉄砲鍛冶,鬼,飛道具使い,,34598,18316,3022,2210,2303,1337,2598,1824,1904,1779,2001,腕力上昇率向上,生命上昇,腕力上昇,,,
7,後藤又兵衛,鍛冶屋,鎧鍛冶,猛将,根性,,37270,20134,1999,2202,1610,1018,2267,1182,1256,1129,1177,生命修練志向,耐久上昇率向上,,,,
7,江里口信常,傾奇者,殺陣,猛将,,,28859,13877,2530,1266,1323,1580,1520,1117,1049,1061,1088,生命修練上昇,,,,,
7,降神祈祷師,神主・巫女,古神道,長寿,,,25906,21697,2232,1174,1307,1764,1935,1333,1200,1136,1378,魅力上昇,生命上昇率向上,,,,
7,高橋紹運,侍,武士道,猛将,,,30897,16990,1913,1703,1515,1714,1928,1050,1011,960,1431,気合修練志向,,,,,
7,黒田長政,鍛冶屋,鉄砲鍛冶,才腕,外交官,,34857,17748,3103,2191,2065,2654,3003,2241,2209,2339,2197," 腕力上昇Lv.5 "," 魅力上昇Lv.3 "," 腕力上昇率向上Lv.1 ",2026/5/20,,
7,黒猫ノア,傾奇者,四象,外交官,洒落者,,31224,19773,2463,1556,2110,2928,2765,2842,3001,2810,2817,知力上昇率向上,土属性上昇率向上,水属性上昇率向上,,,
7,佐々木小次郎(涼),侍,武芸,鬼,剣豪,,33891,17809,3080,1405,2340,1721,2132,2005,1381,2024,1308,腕力上昇率向上,器用上昇,腕力上昇,,,
7,柴田勝家(風雲),侍,武芸,鬼,猛将,,36043,17496,3102,1747,1923,1385,1870,1676,1653,2186,1614,腕力上昇率向上,腕力上昇,腕力修練志向,,,
7,種子島時堯,侍,軍学,飛道具使い,,,32357,14205,2221,1801,1457,1670,1770,1039,1064,1449,1100,生命上昇率向上,,,,,
7,出雲阿国(周年),神主・巫女,雅楽,洒落者,明敏,,31225,20810,1615,1587,1614,2795,2957,1572,1618,1651,1456,知力上昇,生命上昇,,,,
7,出雲阿国(神将),傾奇者,地勢,洒落者,,,30736,16170,1443,1768,1638,2704,2938,1940,1366,1346,1933,魅力上昇,生命上昇率向上,,,,
7,出雲阿国(野望),神主・巫女,雅楽,洒落者,女傑,,34421,26013,1785,1663,1717,2694,3113,2080,2259,1940,1945,魅力上昇,魅力上昇率向上Lv.5,魅力修練志向,,,
7,小松姫(航海),陰陽師,仙道,内助の功,女傑,,32849,17983,1103,1475,1276,2738,2794,1695,2829,1559,2881,魅力上昇,知力上昇,,,,
7,小松姫(水練),侍,武芸,女傑,,,26360,17496,2365,1460,1505,1358,2219,976,1360,947,1287,水属性上昇,,,,,
7,小早川隆景(羽織),陰陽師,陰陽道,知将,,明敏,33735,17425,1178,1948,1562,2893,2666,2333,2825,2785,2330,知力上昇Lv.5,知力修練志向Lv.3,知力上昇率向上Lv.1,2026/3/18,三子教訓の智,敵単体と敵全体に水属性術攻撃を行い、状態Lv2の火・水属性呪詛を与える。また、自身に気合ダメージを受けた時に追加行動を行う状態を付与。
7,晶,傾奇者,地勢,女傑,,,30456,15554,2347,1610,1515,1766,1726,1213,1139,1122,1172,腕力修練志向,腕力上昇,,,,
7,松永久秀(野望),傾奇者,四象,明敏,野心家,,31224,20073,2463,1383,2066,2898,2008,2253,2176,2832,2272,知力上昇,知力上昇率向上,火属性上昇率向上,,,
7,城大工かんな,鍛冶屋,刀鍛冶,宿将,女傑,,34292,13937,2521,2122,1686,1814,2496,2535,1603,2508,1585,腕力上昇,耐久上昇率向上,,,,
7,森長可,侍,武芸,宿将,鬼,,33622,19996,2968,1911,2230,1748,2709,2228,2284,2261,2215,腕力上昇,耐久上昇,器用上昇率向上,,,
7,森蘭丸(凶禍),侍,武芸,勇将,,,35774,19527,2790,2088,1561,1856,2429,1496,1077,958,2152,腕力修練上昇,生命上昇率向上,生命上昇,,,
7,真田幸村(水練),侍,武芸,洒落者,根性,,30125,17184,2544,1337,1394,1614,1957,1007,1740,1023,1002,水属性上昇率向上,,,,,
7,真田信幸(航海),侍,武士道,長寿,,,36233,19878,2027,1942,1576,1920,2776,1330,2632,1205,2488,生命上昇,知力修練志向,,,,
7,石田三成(西軍),陰陽師,陰陽道,根性,名臣,,34000,20703,1383,1914,1831,2893,2997,2316,2257,2224,2296,知力上昇,知力上昇率向上,魅力上昇,,,
7,仙桃院,僧,密教,世渡り上手,女傑,,35859,22911,1865,2154,1937,2872,3039,2262,2954,2153,2132,知力上昇率向上,知力上昇,水属性上昇,,,
7,前田慶次(神将),傾奇者,四象,洒落者,,,33866,14980,2648,1844,1520,2314,2209,2128,2132,2132,2135,生命上昇,腕力上昇,,,,
7,前田慶次(野望),傾奇者,四象,洒落者,猛将,,37229,23219,3141,1810,1918,2315,3136,2504,2502,2477,2612,腕力上昇,魅力上昇,魅力修練志向,,,
7,滝川一益(風雲),忍者,忍法,才腕,忍び,,32518,19917,3053,1791,2528,2122,2457,2044,2015,2044,2064,腕力上昇,腕力上昇率向上,器用上昇,,,
7,竹中半兵衛(知将),陰陽師,陰陽道,知将,才腕,明敏,27094,18288,951,1757,1330,2745,2424,1921,1822,1829,2891,"知力上昇Lv.5 ","気合上昇率向上Lv.2 ",,,,
7,島左近,侍,軍学,鬼,世渡り上手,根性,35732,19887,2945,2097,2041,2812,2889,2460,2602,2820,2874,腕力上昇,腕力上昇率向上,知力上昇,,,
7,道場娘まり,侍,武士道,女傑,,,28089,18690,2295,2043,1060,1714,2313,1167,1125,1067,1100,生命修練志向,,,,,
7,道場娘まり(和装),侍,武士道,女傑,剣豪,,35110,16310,2601,1976,1425,1817,2506,1167,1125,1067,2213,生命上昇,,,,,
7,鍋島直茂(人狼),傾奇者,殺陣,洒落者,,名臣,30678,11354,2814,1501,1299,2310,1458,1049,933,1008,1055,腕力修練上昇,腕力上昇,,,,
7,濃姫(雅楽),神主・巫女,雅楽,内助の功,,,30242,15608,1584,1171,984,2391,2451,1514,1460,1601,1477,魅力上昇率向上,,,,,
7,濃姫(特別),神主・巫女,古神道,内助の功,,,23833,28206,1339,1174,1399,1923,2902,1507,1320,1591,1557,知力修練志向,,,,,
7,福島正則,鍛冶屋,刀鍛冶,猛将,勇将,,35823,20568,2966,2387,1991,1502,2317,2132,2283,2196,2266,耐久上昇,腕力上昇,腕力修練志向,,,
7,北条氏政(獅子),傾奇者,地勢,根性,世渡り上手,,30456,20482,2442,2131,2164,2833,2971,2583,2505,2535,2613,知力上昇,魅力上昇,知力修練志向,,,
7,本多忠勝(盛夏),僧,僧兵,剣豪,,,35606,14557,3012,2097,1274,1588,2240,1087,1188,1073,1219,腕力上昇,生命修練上昇,,,,
7,魔女ルシア,神主・巫女,古神道,文化人,洒落者,女傑,33936,28858,1800,1735,1438,2841,2902,2121,2028,1819,2370,知力上昇,魅力上昇,魅力上昇率向上,,,
7,魔女娘まり,侍,武士道,洒落者,,,35671,18689,2295,2044,1364,1766,2313,1167,1125,1067,1101,耐久修練志向,耐久上昇,,,,
7,明智光秀(闇),僧,僧兵,鬼,洒落者,野心家,37685,21408,3353,2258,2005,2524,2792,2196,2578,2344,2084,生命上昇率向上,知力上昇,生命上昇,,,
7,明智光秀(初期),僧,密教,野心家,,,27584,16724,1435,1325,1107,2297,1788,532,2147,2026,497,知力上昇,知力上昇率向上,,,,
7,立花宗茂,侍,武芸,猛将,,,30126,15309,2610,1336,1421,1317,1747,1007,1032,1022,1213,生命修練志向,,,,,
7,立花宗茂(盛夏),侍,武士道,剣豪,,,35390,20048,2429,1721,1576,2109,2159,2509,1035,1002,1277,気合上昇,魅力修練上昇,,,,
7,立花誾千代(猫又),侍,武芸,洒落者,,,33891,15465,2656,1515,1477,1398,2324,2514,1109,1087,1023,気合修練上昇,生命上昇,,,,
6,お知恵,陰陽師,仙道,明敏,,,24458,13275,705,1138,952,1992,1827,1823,1857,1772,1886,知力上昇,,,,,
6,サンチョ,陰陽師,召喚術,神仏の徒,,,20542,10561,607,892,728,1503,1399,1035,856,717,825,土属性上昇,,,,,
6,もの知り爺,僧,僧兵,宿将,,,26548,12769,1992,1344,1242,1697,1551,1348,1427,1333,1328,腕力上昇,,,,,
6,愛弟子ノア,神主・巫女,古神道,明敏,,,26829,20571,1022,1093,1031,1877,1832,2352,1018,1004,1508,土属性上昇,,,,,
6,安藤守就,陰陽師,陰陽道,猛将,,,22370,14053,735,807,896,1951,1663,2271,975,967,1035,土属性上昇,,,,,
6,伊達成実,侍,武芸,剣豪,,,23409,10928,2304,1092,1264,921,1408,688,844,682,682,腕力修練上昇,腕力上昇,,,,
6,雨森弥兵衛,陰陽師,陰陽道,勇将,,,21251,14053,735,1153,896,1651,1663,1207,1770,1026,1099,知力修練上昇,,,,,
6,鵜殿長持,神主・巫女,古神道,世渡り上手,,,22054,17734,982,1061,910,1551,1621,1239,911,875,1068,土属性上昇率向上,,,,,
6,遠藤直経,忍者,暗殺術,忍び,,,23920,11521,1839,896,1750,1001,1454,636,1107,653,664,水属性上昇率向上,器用上昇,,,,
6,岡部元信,侍,武士道,猛将,,,27030,13339,1380,1469,1113,1253,1587,930,741,708,732,魅力修練志向,,,,,
6,岡部正綱,侍,武士道,世渡り上手,,,24572,14671,1278,1360,1089,1253,1586,931,742,707,732,耐久上昇,,,,,
6,海北綱親,僧,僧兵,知将,,,24490,12046,1607,1083,1053,1296,1349,635,681,625,1075,風属性上昇率向上,,,,,
6,鎧鍛冶次郎,鍛冶屋,鎧鍛冶,根性,,,33801,12704,1220,1844,1238,897,2021,1034,1030,1014,1013,耐久上昇,,,,,
6,柿崎景家,侍,軍学,剣豪,,,25297,12192,1795,1385,1197,1525,1615,860,1029,808,865,腕力修練志向,生命上昇,,,,
6,関掃部,鍛冶屋,鉄砲鍛冶,飛道具使い,,,24468,11784,1926,1797,1779,1792,1565,847,713,683,721,生命修練志向,,,,,
6,願証寺証恵,僧,僧兵,名臣,,神仏の徒,22888,12047,1639,1083,1052,1179,1901,710,760,700,852,気合上昇率向上,魅力修練志向,,,,
6,鬼庭綱元,薬師,医学,名臣,,,22065,12519,678,1117,928,2021,2053,1860,1807,1860,1807,魅力上昇率向上,知力上昇率向上,,,,
6,鬼庭左月斎,侍,軍学,長寿,宿将,,26815,12834,1196,1482,1140,1525,1615,860,1029,808,865,水属性上昇,,,2026/04/08,,
6,京極高吉,神主・巫女,雅楽,神仏の徒,,,21376,12950,1024,892,914,1546,1528,789,706,678,996,知力上昇,,,,,
6,興正寺顕尊,僧,仏門,神仏の徒,,,23428,13415,980,1233,858,1616,1535,836,860,797,999,風属性上昇率向上,,,,,
6,光教寺顕誓,僧,僧兵,神仏の徒,,,22887,13250,1607,1083,1053,1178,1214,710,760,700,853,器用上昇率向上,,,,,
6,高坂昌信,陰陽師,陰陽道,知将,,,22370,14053,735,807,896,2207,2310,1874,1831,1933,1810,火属性上昇率向上,魅力修練上昇,,,,
6,細川晴元,陰陽師,陰陽道,文化人,,,22370,14053,735,1036,896,1832,1663,1349,1158,1147,1488,気合上昇,知力修練志向,,,,
6,細川藤孝,陰陽師,仙道,文化人,長寿,,21838,12889,719,947,889,1992,1575,1049,938,890,1178,知力上昇率向上,知力修練上昇,,,,
6,榊原康政,侍,武士道,勇将,,,24572,14671,893,1224,1210,1253,1586,931,742,707,732,魅力上昇率向上,生命上昇,,,,
6,三井遊雲軒,鍛冶屋,刀鍛冶,飛道具使い,,,35293,11421,1600,1668,1169,846,1493,868,714,679,700,生命上昇,,,,,
6,三好義賢,侍,武芸,文化人,,,23409,12142,2132,1092,1150,921,1408,688,697,825,682,魅力修練志向,腕力上昇率向上,,,,
6,三好長逸,僧,密教,野心家,,,24327,13878,1019,1303,850,1571,1418,963,979,1106,917,器用修練志向,,,,,
6,山県昌景,侍,軍学,剣豪,勇将,,28079,12834,1650,1524,1025,1525,1615,860,850,978,865,生命修練上昇,生命修練志向,,,,
6,山中俊房,忍者,暗殺術,忍び,,,21238,11521,2024,896,1790,910,1454,711,725,729,899,器用上昇,腕力修練上昇,,,,
6,氏家卜全,侍,武士道,猛将,,,24572,13339,1789,1224,1210,1804,1808,931,782,707,732,耐久修練志向,,,,,
6,柴田勝家,侍,武芸,剣豪,,宿将,23409,12142,2208,1092,976,921,1408,688,697,825,682,腕力上昇,腕力修練志向,,,,
6,酒井忠次,薬師,医学,外交官,,,22065,11267,678,1117,928,2210,2307,896,949,825,765,知力上昇率向上,魅力上昇,,,,
6,出浦盛清,忍者,暗殺術,忍び,,,22356,11521,2464,896,1857,910,1454,750,764,1153,782,火属性上昇,腕力上昇,,,,
6,小松姫,侍,武芸,女傑,,明敏,21067,12142,2304,1092,1150,1050,1817,651,660,646,1221,気合上昇,,,,,
6,色部勝長,侍,武芸,猛将,,,23409,12142,2304,1092,919,921,1408,688,697,682,825,水属性上昇,,,,,
6,伸介,陰陽師,召喚術,根性,,,22186,13965,705,1168,758,1600,1482,1630,1339,1655,1199,知力上昇率向上,,,,,
6,森蘭丸,侍,武芸,名臣,,,34177,11414,2747,1856,2070,1871,2395,1312,1492,1371,1445,腕力上昇率向上,腕力修練志向,,,,
6,真田信幸,陰陽師,召喚術,長寿,名臣,,20542,11735,607,892,1807,1503,2210,450,1347,1133,433,器用修練上昇,魅力修練志向,,,,
6,陣蔵,侍,軍学,宿将,,,28838,13732,1651,1607,1300,1846,1826,1812,1800,1806,1805,魅力修練志向,,,,,
6,西光寺真敬,僧,密教,神仏の徒,,,24328,13879,1000,1303,916,1720,1542,962,980,912,1111,器用修練志向,,,,,
6,滝川一益,忍者,忍法,忍び,,,22504,11455,2133,924,1884,1040,1425,725,725,715,753,耐久修練上昇,器用修練志向,,,,
6,丹羽長秀,薬師,医学,知将,,,22065,12519,678,1060,928,1860,1572,944,825,869,807,気合修練志向,知力上昇,,,,
6,池田勝正,侍,武士道,名臣,,,24572,13339,1278,1428,1150,1253,1586,768,742,707,886,耐久修練上昇,,,,,
6,朝倉景紀,神主・巫女,神道,猛将,,,24320,12966,1564,1000,1194,1188,1549,796,753,743,974,生命修練志向,,,,,
6,朝倉景鏡,陰陽師,陰陽道,野心家,,,22371,14054,736,1152,897,1350,1662,1349,1159,1148,1488,風属性上昇Lv.1,,2026/2/5,栄華の光,敵全体に無属性術ダメージを与える。さらに、解除可能な結界と付与をすべて解除する。,
6,朝倉景隆,薬師,神通力,猛将,,,24479,13763,770,1207,1033,1358,1534,1021,894,894,1050,気合修練志向,,,,,
6,朝倉景連,薬師,医学,猛将,,,26479,12519,678,1117,928,1307,1499,896,783,825,928,魅力修練上昇,,,,,
6,的場源四郎,鍛冶屋,鎧鍛冶,飛道具使い,,,31888,12216,1197,1809,1802,1794,1798,929,777,719,758,器用修練上昇,,,,,
6,藤岡屋伝助,傾奇者,四象,才腕,,,24745,12889,1853,1042,1552,1487,1413,1774,1721,1741,1692,火属性上昇,,,,,
6,道場忍お綾,忍者,忍法,才腕,,,26103,12715,1986,1109,1857,1124,1624,1481,1815,1818,1566,器用上昇,,,,,
6,内藤昌豊,薬師,修験道,勇将,,,14812,20115,1039,936,1096,669,2620,996,1182,993,963,魅力修練志向,知力上昇,,,,
6,馬場信春,神主・巫女,雅楽,猛将,,,23512,12950,1699,992,731,1532,1803,789,706,678,996,生命修練上昇,,,,,
6,伴長信,忍者,忍法,忍び,,,22504,10309,1642,972,1841,1040,1567,797,797,500,828,器用上昇,器用修練上昇,,,,
6,不破光治,神主・巫女,雅楽,猛将,,,21376,12950,1024,942,914,1688,1528,832,743,714,867,知力修練志向,,,,,
6,片倉重長,鍛冶屋,鉄砲鍛冶,宿将,鬼,,29594,16261,2557,1392,1945,1562,2364,2029,1975,2001,1948,腕力上昇,器用上昇,,,,
6,北条高広,侍,武士道,野心家,,,24572,14671,1278,1360,1089,1253,1586,931,742,707,732,耐久上昇率向上,,,,,
6,北条氏規,薬師,医学,世渡り上手,,,22065,12519,679,1004,929,1453,1499,897,949,826,766,気合修練上昇,,,,,
6,北条氏照,侍,軍学,勇将,,,25297,12834,1196,1524,1140,1525,1615,860,1029,808,865,耐久上昇率向上,,,,,
6,北条氏政,侍,武士道,知将,,,24572,13339,1278,1224,1210,1253,1825,768,899,707,732,魅力上昇,,,,,
6,魔導士ルシア,神主・巫女,古神道,神仏の徒,,,22737,17734,982,954,1000,1707,1621,1025,1104,875,1068,水属性上昇,,,,,
6,明智光秀,神主・巫女,古神道,野心家,,,22737,17734,982,1061,1000,1861,1621,971,864,1475,1013,火属性上昇率向上,,,,,
6,矢沢頼綱,薬師,医学,名臣,,,20521,12519,1086,1117,929,1410,1499,850,742,782,1370,気合上昇率向上,,,,,
6,窯隠れの才蔵,忍者,忍術,忍び,,,24064,11983,1104,813,1090,1460,1449,908,798,1040,931,火属性上昇,,,,,
6,鈴木重朝,侍,武士道,世渡り上手,,,27029,13339,1150,1496,1210,1253,1745,931,742,707,732,耐久修練上昇,,,,,
5,粟津元隈,神主・巫女,神道,神仏の徒,,,19776,11339,1478,819,924,1136,1346,760,575,560,632,,,,,,
5,伊達実元,侍,武士道,名臣,,,22815,11513,960,1189,1057,1024,1415,599,701,556,575,,,,,,
5,一宮宗是,神主・巫女,古神道,勇将,,,21154,15752,1168,939,847,1446,1465,903,797,772,1150,,,,,,
5,果心居士,陰陽師,陰陽道,野心家,,,20274,12455,564,860,735,1325,1392,1081,844,1433,925,,,,,,
5,岩成友通,薬師,修験道,野心家,,,22130,13035,668,1164,971,1700,1546,900,878,903,1046,,,,,,
5,蛍,鍛冶屋,鉄砲鍛冶,女傑,,,17635,8460,1165,903,921,565,1107,476,479,457,478,,,,,,
5,原虎胤,僧,僧兵,鬼,,,21335,10934,1406,986,914,876,1161,569,738,553,561,,,,,,
5,古田織部,陰陽師,陰陽道,文化人,,,20274,12455,507,860,735,1457,1392,1081,844,839,1579,,,,,,
5,甲山太郎次郎,忍者,暗殺術,忍び,,,22124,10025,1617,692,1163,704,1276,551,558,546,678,,,,,,
5,荒木村重,僧,仏門,文化人,,,23840,10725,685,1078,743,1399,1332,844,710,664,671,,,,,,
5,高力清長,僧,仏門,名臣,,,21673,13109,685,1078,743,1258,1332,697,860,664,671,,,,,,
5,今川氏真,神主・巫女,神道,文化人,,,18734,11339,1614,819,924,1136,1346,628,575,560,767,,,,,,
5,佐久間信盛,侍,軍学,猛将,,,23877,12950,821,1258,982,1410,1492,899,714,683,718,,,,,,
5,佐々成政,侍,武士道,勇将,,,22815,11513,1056,1069,1057,1024,1415,599,579,556,697,,,,,,
5,細川忠興,侍,武士道,文化人,,,22815,10360,960,1307,1057,1024,1415,725,579,556,575,,,,,,
5,山本勘助,忍者,忍法,名臣,,,16428,8054,1150,615,949,642,981,489,489,475,490,,,,,,
5,上杉景勝,侍,武士道,名臣,,,22815,11513,960,1307,1057,921,1415,599,579,556,697,,,,,,
5,新庄直頼,侍,軍学,世渡り上手,,,23877,11774,1004,1258,982,1268,1492,899,714,683,718,,,,,,
5,新発田長敦,侍,武士道,勇将,,,22815,11513,1056,1189,951,1024,1415,725,579,556,575,,,,,,
5,真田信尹,侍,武芸,世渡り上手,,,21665,10403,1942,860,1028,710,1239,528,531,618,522,,,,,,
5,石川昭光,侍,軍学,名臣,,,23877,11774,914,1132,982,1550,1492,899,714,683,718,,,,,,
5,朝倉景恒,僧,密教,勇将,,,22699,12457,782,1126,819,1675,1278,983,832,768,785,,,,,,
5,鳥居景近,陰陽師,仙道,勇将,,,20315,11714,558,871,743,1592,1240,914,793,739,989,,,,,,
5,鳥居元忠,鍛冶屋,刀鍛冶,名臣,,,30497,10366,1150,1333,1028,692,1350,693,567,525,543,,,,,,
5,津田監物,鍛冶屋,鉄砲鍛冶,飛道具使い,,,22044,10575,1782,1128,1151,707,1246,567,569,657,567,,,,,,
5,福島勝広,侍,武芸,猛将,,,21665,10403,1942,956,925,710,1239,639,531,511,522,,,,,,
5,北条綱成,侍,武芸,猛将,,,21665,10403,1765,956,925,710,1361,528,531,618,522,,,,,,
5,本願寺実悟,僧,密教,神仏の徒,,,22699,13702,782,1014,819,1522,1421,813,919,850,785,,,,,,
5,来福寺左京,忍者,忍法,忍び,,,20535,10068,1293,771,1304,803,1226,703,581,564,582,,,,,,
4,井伊直親,薬師,医学,勇将,,,17309,10792,496,743,600,1106,1142,638,518,550,500,,,,,,
4,印牧能信,薬師,神通力,勇将,,,18678,10442,529,701,639,1146,1310,707,572,592,664,,,,,,
4,塩屋秋貞,侍,軍学,勇将,,,21437,9227,800,1025,814,1225,1282,542,525,496,639,,,,,,
4,下間頼廉,僧,僧兵,飛道具使い,,,18071,9250,1267,701,718,657,950,489,525,579,489,,,,,,
4,下津一通,鍛冶屋,鉄砲鍛冶,勇将,,,15812,7517,1124,728,772,453,954,413,417,401,413,,,,,,
4,可児才蔵,侍,武士道,猛将,,,19872,9750,828,833,853,783,1196,489,478,449,579,,,,,,
4,鬼小島弥太郎,鍛冶屋,鎧鍛冶,鬼,,,27926,9530,847,1394,935,540,1250,529,521,581,507,,,,,,
4,小山田信茂,侍,武芸,野心家,,,19085,8023,1494,721,835,538,1128,557,458,450,460,,,,,,
4,小雀,侍,武士道,女傑,,,19872,9750,1131,926,853,547,1196,592,478,449,478,,,,,,
4,新開実綱,神主・巫女,雅楽,勇将,,,14823,9803,828,613,572,1046,1093,540,485,468,688,,,,,,
4,清水康英,鍛冶屋,鎧鍛冶,名臣,,,30718,9530,707,1394,935,540,1390,529,521,581,507,,,,,,
4,石川五右衛門,忍者,忍術,忍び,,,18137,8917,618,583,671,936,1015,497,457,764,485,,,,,,
4,泉田重光,侍,武芸,名臣,,,18131,9806,1494,721,835,538,1026,460,556,450,460,,,,,,
4,内藤正成,侍,軍学,世渡り上手,,,21437,10253,764,1025,814,1346,1153,657,525,496,528,,,,,,
4,脇坂安治,侍,武士道,勇将,,,19872,8775,1507,926,938,783,1196,489,578,449,478,,,,,,
4,簗田新八,薬師,神通力,勇将,,,18678,10442,529,781,639,1260,1071,707,572,592,664,,,,,,
5,藤堂高虎,陰陽師,仙道,世渡り上手,,,20315,11714,558,871,743,1592,1240,914,793,815,903,,,,,変節の極み,
7,筧十蔵,忍者,暗殺術,才腕,忍び,,33553,20468,3264,1436,2509,2330,2754,2184,2464,2913,2446,腕力上昇,腕力修練志向,,,穿天煉獄,
