番号,コスト,名前,育成技能1:(0凸),育成技能2:(0凸),育成技能3:(0凸),生命,気合,腕力,耐久,器用,知力,魅力,土,水,火,風,因子1(特化),因子2(2凸),因子3(LV20),因子4(文曲)
348,5,石川昭光,,,,23877,11774,914,1132,982,1550,1492,899,714,683,718,軍学,名臣,,
349,5,朝倉景恒,,,,22699,12457,782,1126,819,1675,1278,983,832,768,785,密教,勇将,,
350,5,鳥居景近,,,,20315,11714,558,871,743,1592,1240,914,793,739,989,仙道,勇将,,
351,5,鳥居元忠,,,,30497,10366,1150,1333,1028,692,1350,693,567,525,543,刀鍛冶,名臣,,
352,5,津田監物,,,,22044,10575,1782,1128,1151,707,1246,567,569,657,567,鉄砲鍛冶,飛道具使い,,
353,5,福島勝広,,,,21665,10403,1942,956,925,710,1239,639,531,511,522,武芸,猛将,,
354,5,北条綱成,,,,21665,10403,1765,956,925,710,1361,528,531,618,522,武芸,猛将,,
355,5,本願寺実悟,,,,22699,13702,782,1014,819,1522,1421,813,919,850,785,密教,神仏の徒,,
356,5,来福寺左京,,,,20535,10068,1293,771,1304,803,1226,703,581,564,582,忍法,忍び,,
357,4,井伊直親,,,,17309,10792,496,743,600,1106,1142,638,518,550,500,医学,勇将,,
358,4,印牧能信,,,,18678,10442,529,701,639,1146,1310,707,572,592,664,神通力,勇将,,
359,4,塩屋秋貞,,,,21437,9227,800,1025,814,1225,1282,542,525,496,639,軍学,勇将,,
360,4,下間頼廉,,,,18071,9250,1267,701,718,657,950,489,525,579,489,僧兵,飛道具使い,,
361,4,下津一通,,,,15812,7517,1124,728,772,453,954,413,417,401,413,鉄砲鍛冶,勇将,,
362,4,可児才蔵,,,,19872,9750,828,833,853,783,1196,489,478,449,579,武士道,猛将,,
363,4,鬼小島弥太郎,,,,27926,9530,847,1394,935,540,1250,529,521,581,507,鎧鍛冶,鬼,,
364,4,小山田信茂,,,,19085,8023,1494,721,835,538,1128,557,458,450,460,武芸,野心家,,
365,4,小雀,,,,19872,9750,1131,926,853,547,1196,592,478,449,478,武士道,女傑,,
366,4,新開実綱,,,,14823,9803,828,613,572,1046,1093,540,485,468,688,雅楽,勇将,,
367,4,清水康英,,,,30718,9530,707,1394,935,540,1390,529,521,581,507,鎧鍛冶,名臣,,
368,4,石川五右衛門,,,,18137,8917,618,583,671,936,1015,497,457,764,485,忍術,忍び,,
369,4,泉田重光,,,,18131,9806,1494,721,835,538,1026,460,556,450,460,武芸,名臣,,
370,4,内藤正成,,,,21437,10253,764,1025,814,1346,1153,657,525,496,528,軍学,世渡り上手,,
371,4,脇坂安治,,,,19872,8775,1507,926,938,783,1196,489,578,449,478,武士道,勇将,,
372,4,簗田新八,,,,18678,10442,529,781,639,1260,1071,707,572,592,664,神通力,勇将,,
373,5,藤堂高虎,,,,20315,11714,558,871,743,1592,1240,914,793,815,903,仙道,世渡り上手,,
374,7,筧十蔵,腕力上昇Lv.5,腕力修練志向Lv.3,火属性上昇率向上Lv.1,33553,20468,3264,1436,2509,2330,2754,2184,2464,2913,2446,暗殺術,才腕,忍び,
375,7,母里太兵衛,腕力上昇Lv.5,耐久上昇Lv.3,腕力修練志向Lv.1,37685,22121,3514,2316,2111,2610,2740,2311,2387,2469,2198,僧兵,猛将,宿将,信義
